	sample_id	study	project	reference_condition	condition	rep_id	Strain Description	Strain	Culture Type	Evolved Sample	Base Media	Temperature (C)	pH	Carbon Source (g/L)	Nitrogen Source (g/L)	Electron Acceptor	Trace Element Mixture	Supplement	Antibiotic for selection	Growth_Phase	Growth Rate (1/hr)	Isolate Type	Additional Details	Sequencing Machine	LibraryLayout	Platform	Biological Replicates	doi	GEO	SRX	Run	R1	R2	contact	creator	passed_fastqc	passed_pct_reads_mapped	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_similar_replicates	passed_number_replicates	run_date	n_replicates	PxK_sample_type	deleted_genes	mutated_genes	overexpressed_genes	Unnamed: 49	Unnamed: 50	Unnamed: 51	Unnamed: 52	Unnamed: 53	Unnamed: 54	Unnamed: 55	Unnamed: 56	Unnamed: 57
p1k_00542	ros_tale__1_1_250pq__1	ROS TALE	ros_tale	p1k_00001;p1k_00002	1_1_250pq	1	Escherichia coli ERS.11.83	GMOS	Batch	Endpoint	M9	37.0	7.0	glucose(4)	NH4Cl(1)	O2	0	paraquat (250uM)	0	0	0.0	Clonal	0	NextSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1101/749887	GSE134256	0	0	s3://precise-db/raw_data/ros_tale/ers2__11_83_250pq__1__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__11_83_250pq__1__R2.fastq.gz	Kevin Rychel	Justin Tan	True	True	True	True	ros_tale:1_1_250pq	True	True	10/30/19	2.0	ALE	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00543	ros_tale__1_1_250pq__2	ROS TALE	ros_tale	p1k_00001;p1k_00002	1_1_250pq	2	Escherichia coli ERS.11.83	GMOS	Batch	Endpoint	M9	37.0	7.0	glucose(4)	NH4Cl(1)	O2	0	paraquat (250uM)	0	0	0.0	Clonal	0	NextSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1101/749887	GSE134256	0	0	s3://precise-db/raw_data/ros_tale/ers2__11_83_250pq__2__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__11_83_250pq__2__R2.fastq.gz	Kevin Rychel	Justin Tan	True	True	True	True	ros_tale:1_1_250pq	True	True	10/30/19	2.0	ALE	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00544	ros_tale__1_1_750pq__1	ROS TALE	ros_tale	p1k_00001;p1k_00002	1_1_750pq	1	Escherichia coli ERS.11.83	GMOS	Batch	Endpoint	M9	37.0	7.0	glucose(4)	NH4Cl(1)	O2	0	paraquat (750uM)	0	0	0.0	Clonal	0	NextSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1101/749887	GSE134256	0	0	s3://precise-db/raw_data/ros_tale/ers2__11_83_750pq__1__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__11_83_750pq__1__R2.fastq.gz	Kevin Rychel	Justin Tan	True	True	True	True	ros_tale:1_1_750pq	True	True	10/30/19	2.0	ALE	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00545	ros_tale__1_1_750pq__2	ROS TALE	ros_tale	p1k_00001;p1k_00002	1_1_750pq	2	Escherichia coli ERS.11.83	GMOS	Batch	Endpoint	M9	37.0	7.0	glucose(4)	NH4Cl(1)	O2	0	paraquat (750uM)	0	0	0.0	Clonal	0	NextSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1101/749887	GSE134256	0	0	s3://precise-db/raw_data/ros_tale/ers2__11_83_750pq__2__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__11_83_750pq__2__R2.fastq.gz	Kevin Rychel	Justin Tan	True	True	True	True	ros_tale:1_1_750pq	True	True	10/30/19	2.0	ALE	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00546	ros_tale__1_2_0pq__1	ROS TALE	ros_tale	p1k_00001;p1k_00002	1_2_0pq	1	Escherichia coli ERS.13.87	GMOS	Batch	Endpoint	M9	37.0	7.0	glucose(4)	NH4Cl(1)	O2	0	0	0	0	0.0	Clonal	0	NextSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1101/749887	GSE134256	0	0	s3://precise-db/raw_data/ros_tale/ers2__13_87_0pq__1__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__13_87_0pq__1__R2.fastq.gz	Kevin Rychel	Justin Tan	True	True	True	True	ros_tale:1_2_0pq	True	True	1/21/20	2.0	ALE	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00547	ros_tale__1_2_0pq__2	ROS TALE	ros_tale	p1k_00001;p1k_00002	1_2_0pq	2	Escherichia coli ERS.13.87	GMOS	Batch	Endpoint	M9	37.0	7.0	glucose(4)	NH4Cl(1)	O2	0	0	0	0	0.0	Clonal	0	NextSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1101/749887	GSE134256	0	0	s3://precise-db/raw_data/ros_tale/ers2__13_87_0pq__2__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__13_87_0pq__2__R2.fastq.gz	Kevin Rychel	Justin Tan	True	True	True	True	ros_tale:1_2_0pq	True	True	1/21/20	2.0	ALE	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00548	ros_tale__1_2_250pq__1	ROS TALE	ros_tale	p1k_00001;p1k_00002	1_2_250pq	1	Escherichia coli ERS.13.87	GMOS	Batch	Endpoint	M9	37.0	7.0	glucose(4)	NH4Cl(1)	O2	0	paraquat (250uM)	0	0	0.0	Clonal	0	NextSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1101/749887	GSE134256	0	0	s3://precise-db/raw_data/ros_tale/ers2__13_87_250pq__1__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__13_87_250pq__1__R2.fastq.gz	Kevin Rychel	Justin Tan	True	True	True	True	ros_tale:1_2_250pq	True	True	10/30/19	2.0	ALE	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00549	ros_tale__1_2_250pq__2	ROS TALE	ros_tale	p1k_00001;p1k_00002	1_2_250pq	2	Escherichia coli ERS.13.87	GMOS	Batch	Endpoint	M9	37.0	7.0	glucose(4)	NH4Cl(1)	O2	0	paraquat (250uM)	0	0	0.0	Clonal	0	NextSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1101/749887	GSE134256	0	0	s3://precise-db/raw_data/ros_tale/ers2__13_87_250pq__2__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__13_87_250pq__2__R2.fastq.gz	Kevin Rychel	Justin Tan	True	True	True	True	ros_tale:1_2_250pq	True	True	10/30/19	2.0	ALE	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFP_pan_fur_MG1655_1	pan_fur_MG1655_1	pan_fur	CFP	WT	fur_KO	1	fur_KO	MG1655	Batch	No	M9	37.0	7.0	glucose	NH4Cl	0	0	0	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_1_R1.fastq.gz	s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_1_R2.fastq.gz	0	0	True	0	True	True	0	0	0	10/15/2021	0.0	genetic_perturbation	fur	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFP_pan_fur_MG1655_2	pan_fur_MG1655_2	pan_fur	CFP	WT	fur_KO	2	fur_KO	MG1655	Batch	No	M9	37.0	7.0	glucose	NH4Cl	0	0	0	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_2_R1.fastq.gz	s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_2_R2.fastq.gz	0	0	True	0	True	True	0	0	0	10/15/2021	0.0	genetic_perturbation	fur	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFP_pan_fur_MG1655_3	pan_fur_MG1655_3	pan_fur	CFP	WT	WT	1	WT	MG1655	Batch	No	M9	37.0	7.0	glucose	NH4Cl	0	0	0	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_3_R1.fastq.gz	s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_3_R2.fastq.gz	0	0	True	0	True	True	0	0	0	10/15/2021	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFP_pan_fur_MG1655_4	pan_fur_MG1655_4	pan_fur	CFP	WT	WT	2	WT	MG1655	Batch	No	M9	37.0	7.0	glucose	NH4Cl	0	0	0	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_4_R1.fastq.gz	s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_4_R2.fastq.gz	0	0	True	0	True	True	0	0	0	10/15/2021	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_0_R1	Cond_0_R1	in_house_2	INDIMOD	M9_glucose	M9_glucose	1	WT	MG1655	Batch	No	M9	37.0	7.0	glucose	NH4Cl	0	0	0	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_0_Rep_1_S66_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_0_Rep_1_S66_L002_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_0_R2	Cond_0_R2	in_house_2	INDIMOD	M9_glucose	M9_glucose	2	WT	MG1655	Batch	No	M9	37.0	7.0	glucose	NH4Cl	0	0	0	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_0_Rep_2_S67_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_0_Rep_2_S67_L002_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_14_R1	Cond_14_R1	in_house_2	INDIMOD	M9_glucose	sorbital_arginine	1	WT	MG1655	Batch	No	M9	37.0	7.0	4g/L sorbital	NH4Cl	0	0	5mM L-arginine	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_14_Rep_1_S110_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_14_Rep_1_S110_L002_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_14_R2	Cond_14_R2	in_house_2	INDIMOD	M9_glucose	sorbital_arginine	2	WT	MG1655	Batch	No	M9	37.0	7.0	4g/L sorbital	NH4Cl	0	0	5mM L-arginine	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_14_Rep_2_S111_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_14_Rep_2_S111_L002_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_21_R1	Cond_21_R1	in_house_2	INDIMOD	M9_glucose	acetate	1	WT	MG1655	Batch	No	M9	37.0	7.0	4g/L acetate	NH4Cl	0	0	0	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-09-29-IGM-NovaSeq/INDIMOD_NEBR_MG1655_21R1_S1_L003_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-09-29-IGM-NovaSeq/INDIMOD_NEBR_MG1655_21R1_S1_L003_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_21_R2	Cond_21_R2	in_house_2	INDIMOD	M9_glucose	acetate	2	WT	MG1655	Batch	No	M9	37.0	7.0	4g/L acetate	NH4Cl	0	0	0	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-09-29-IGM-NovaSeq/INDIMOD_NEBR_MG1655_21R2_S2_L003_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-09-29-IGM-NovaSeq/INDIMOD_NEBR_MG1655_21R2_S2_L003_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_22_R1	Cond_22_R1	in_house_2	INDIMOD	M9_glucose	stationary	1	WT	MG1655	Batch	No	M9	37.0	7.0	glucose	NH4Cl	0	0	0	0	stationary	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_22_R1_S53_L008_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_22_R1_S53_L008_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_22_R2	Cond_22_R2	in_house_2	INDIMOD	M9_glucose	stationary	2	WT	MG1655	Batch	No	M9	37.0	7.0	glucose	NH4Cl	0	0	0	0	stationary	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_22_R2_S54_L008_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_22_R2_S54_L008_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_23_R1	Cond_23_R1	in_house_2	INDIMOD	M9_glucose	TB	1	WT	MG1655	Batch	No	TB	37.0	7.0	0	0	0	0	0	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_23_R1_S65_L008_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_23_R1_S65_L008_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_23_R2	Cond_23_R2	in_house_2	INDIMOD	M9_glucose	TB	2	WT	MG1655	Batch	No	TB	37.0	7.0	0	0	0	0	0	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_23_R2_S66_L008_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_23_R2_S66_L008_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_32_R1	Cond_32_R1	in_house_2	INDIMOD	M9_glucose	anaerobic	1	WT	MG1655	Batch	No	M9	37.0	7.0	4g/L glucose	NH4Cl	0	0	0	0	0	0.0	0	Anaerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_32_Rep_1_S98_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_32_Rep_1_S98_L002_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_32_R2	Cond_32_R2	in_house_2	INDIMOD	M9_glucose	anaerobic	2	WT	MG1655	Batch	No	M9	37.0	7.0	4g/L glucose	NH4Cl	0	0	0	0	0	0.0	0	Anaerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_32_Rep_2_S99_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_32_Rep_2_S99_L002_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_33_R1	Cond_33_R1	in_house_2	INDIMOD	M9_glucose	LiAcet	1	WT	MG1655	Batch	No	M9	37.0	7.0	4g/L glucose	NH4Cl	0	0	10mM Lithium Acetate	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_33_Rep_1_S132_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_33_Rep_1_S132_L002_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_33_R2	Cond_33_R2	in_house_2	INDIMOD	M9_glucose	LiAcet	2	WT	MG1655	Batch	No	M9	37.0	7.0	4g/L glucose	NH4Cl	0	0	10mM Lithium Acetate	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_33_Rep_2_S133_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_33_Rep_2_S133_L002_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_34_R1	Cond_34_R1	in_house_2	INDIMOD	M9_glucose	paraquat	1	WT	MG1655	Batch	No	M9	37.0	7.0	4g/L glucose	NH4Cl	0	0	160 uM paraquat	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-09-25-IGM-NovaSeq/INDIMOD_NEBR_MG1655_34R1_S29_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-09-25-IGM-NovaSeq/INDIMOD_NEBR_MG1655_34R1_S29_L001_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INDIMOD_Cond_34_R2	Cond_34_R2	in_house_2	INDIMOD	M9_glucose	paraquat	2	WT	MG1655	Batch	No	M9	37.0	7.0	4g/L glucose	NH4Cl	0	0	160 uM paraquat	0	0	0.0	0	Aerobic	0	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2023-09-25-IGM-NovaSeq/INDIMOD_NEBR_MG1655_34R2_S30_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2023-09-25-IGM-NovaSeq/INDIMOD_NEBR_MG1655_34R2_S30_L001_R2_001.fastq.gz	Yuan yuan	Yuan yuan	True	0	True	True	0	0	0	1/1/2024	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRN_MG1655_stationary_12h_GlcM9_N_Rep1	MG1655_stationary_12h_GlcM9_N_Rep1	stationary	TRN	MG1655_stationary_3h_GlcM9_N_Rep1; MG1655_stationary_3h_GlcM9_N_Rep2	stationary_N_12h	1	Escherichia coli K-12 MG1655	MG1655	Batch	No	M9	37.0	7.0	glucose	NH4Cl(0.06)	O2	sauer trace element mixture	MgSO4(2 mM)	0	stationary	0.0	0	0	Nova Seq	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_12h_GlcM9_N_Rep1_S29_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_12h_GlcM9_N_Rep1_S29_L001_R2_001.fastq.gz	Hyungyu Lim	Hyungyu Lim	True	0	True	True	0	0	0	2/1/2022	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRN_MG1655_stationary_12h_GlcM9_N_Rep2	MG1655_stationary_12h_GlcM9_N_Rep2	stationary	TRN	MG1655_stationary_3h_GlcM9_N_Rep1; MG1655_stationary_3h_GlcM9_N_Rep2	stationary_N_12h	2	Escherichia coli K-12 MG1655	MG1655	Batch	No	M9	37.0	7.0	glucose	NH4Cl(0.06)	O2	sauer trace element mixture	MgSO4(2 mM)	0	stationary	0.0	0	0	Nova Seq	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_12h_GlcM9_N_Rep2_S30_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_12h_GlcM9_N_Rep2_S30_L001_R2_001.fastq.gz	Hyungyu Lim	Hyungyu Lim	True	0	True	True	0	0	0	2/1/2022	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRN_MG1655_stationary_12h_GlcM9_Rep1	MG1655_stationary_12h_GlcM9_Rep1	stationary	TRN	MG1655_stationary_3h_GlcM9_Rep1; MG1655_stationary_3h_GlcM9_Rep2	stationary_C_12h	1	Escherichia coli K-12 MG1655	MG1655	Batch	No	M9	37.0	7.0	glucose	NH4Cl(1)	O2	sauer trace element mixture	MgSO4(2 mM)	0	stationary	0.0	0	0	Nova Seq	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_12h_GlcM9_Rep1_S27_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_12h_GlcM9_Rep1_S27_L001_R2_001.fastq.gz	Hyungyu Lim	Hyungyu Lim	True	0	True	True	0	0	0	2/1/2022	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRN_MG1655_stationary_12h_GlcM9_Rep2	MG1655_stationary_12h_GlcM9_Rep2	stationary	TRN	MG1655_stationary_3h_GlcM9_Rep1; MG1655_stationary_3h_GlcM9_Rep2	stationary_C_12h	2	Escherichia coli K-12 MG1655	MG1655	Batch	No	M9	37.0	7.0	glucose	NH4Cl(1)	O2	sauer trace element mixture	MgSO4(2 mM)	0	stationary	0.0	0	0	Nova Seq	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_12h_GlcM9_Rep2_S28_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_12h_GlcM9_Rep2_S28_L001_R2_001.fastq.gz	Hyungyu Lim	Hyungyu Lim	True	0	True	True	0	0	0	2/1/2022	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRN_MG1655_stationary_12h_GlcM9_S_Rep1	MG1655_stationary_12h_GlcM9_S_Rep1	stationary	TRN	MG1655_stationary_3h_GlcM9_S_Rep1; MG1655_stationary_3h_GlcM9_S_Rep2	stationary_S_12h	1	Escherichia coli K-12 MG1655	MG1655	Batch	No	M9	37.0	7.0	glucose	NH4Cl(1)	O2	sauer trace element mixture	MgSO4(0.03 mM)	0	stationary	0.0	0	0	Nova Seq	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_12h_GlcM9_S_Rep1_S31_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_12h_GlcM9_S_Rep1_S31_L001_R2_001.fastq.gz	Hyungyu Lim	Hyungyu Lim	True	0	True	True	0	0	0	2/1/2022	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRN_MG1655_stationary_12h_GlcM9_S_Rep2	MG1655_stationary_12h_GlcM9_S_Rep2	stationary	TRN	MG1655_stationary_3h_GlcM9_S_Rep1; MG1655_stationary_3h_GlcM9_S_Rep2	stationary_S_12h	2	Escherichia coli K-12 MG1655	MG1655	Batch	No	M9	37.0	7.0	glucose	NH4Cl(1)	O2	sauer trace element mixture	MgSO4(0.03 mM)	0	stationary	0.0	0	0	Nova Seq	PAIRED	ILLUMINA	2.0	0	0	0	0	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_12h_GlcM9_S_Rep2_S32_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_12h_GlcM9_S_Rep2_S32_L001_R2_001.fastq.gz	Hyungyu Lim	Hyungyu Lim	True	0	True	True	0	0	0	2/1/2022	0.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
